Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,1,20,0,0,0,a video of a person riding a bicycle,,77,13.966666666666669,46.58217167854309
3_106_1.mp4,1,16,0,0,0,a video of a person riding a bicycle,,30,14.981633333333333,34.327449321746826
1_067_1.mp4,1,14,0,0,0,a video of a person riding a bicycle,,21,9.976633333333334,23.881873607635498
1_066_1.mp4,1,15,0,0,0,a video of a person riding a bicycle,,44,14.981633333333333,31.966415405273438
2_096_1.mp4,1,14,0,0,0,a video of a person riding a bicycle,,59,15.0,32.76434326171875
4_077_1.mp4,1,25,0,0,0,a video of a person riding a bicycle,,33,10.966666666666667,32.98716878890991
3_105_1.mp4,1,10,0,1,0,a video of a person riding a bicycle,,61,20.053366666666665,41.01473093032837
2_067_1.mp4,1,0,0,0,2,a video of a certain number of persons fighting,,144,25.0,41.13423490524292
4_082_1.mp4,1,0,0,30,0,a video of a certain number of persons fighting,,177,30.966666666666665,106.39292621612549
3_079_1.mp4,1,0,0,15,0,a video of a certain number of persons fighting,,215,45.011633333333336,223.14854216575623
2_065_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,260,45.0,82.97840809822083
1_081_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,32,12.979633333333334,16.36258363723755
3_089_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,117,29.996633333333335,42.04570198059082
1_088_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,263,45.011633333333336,70.46377396583557
2_068_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,170,35.0,52.04146599769592
1_071_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,113,19.986633333333334,31.128961324691772
4_079_1.mp4,1,0,0,27,4,a video of a certain number of persons fighting,,202,34.96666666666667,100.27798962593079
3_076_1.mp4,1,0,0,51,0,a video of a certain number of persons fighting,,287,49.78306666666667,148.97528290748596
2_081_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,96,17.0,26.539057731628418
1_072_1.mp4,1,0,0,12,0,a video of a certain number of persons fighting,,133,24.991633333333333,48.26413869857788
2_077_1.mp4,1,0,0,22,0,a video of a certain number of persons fighting,,66,12.0,38.99633860588074
4_096_1.mp4,1,0,0,2,0,a video of a certain number of persons fighting,,130,22.966666666666665,31.600208282470703
2_076_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,117,25.0,36.839648723602295
4_103_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,101,17.966666666666665,23.622440814971924
1_083_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,75,14.981633333333333,22.451635122299194
4_105_1.mp4,1,0,0,1,0,a video of a certain number of persons fighting,,169,34.96666666666667,44.61592674255371
2_086_1.mp4,1,0,0,41,8,a video of a certain number of persons fighting,,294,50.0,136.87295174598694
3_078_1.mp4,1,0,0,2,4,a video of a certain number of persons fighting,,292,50.01663333333333,107.25020694732666
4_081_1.mp4,1,0,0,7,0,a video of a certain number of persons fighting,,113,19.966666666666665,52.971577882766724
3_095_1.mp4,1,0,0,16,11,a video of a certain number of persons fighting,,143,24.991633333333333,114.24774861335754
1_069_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,231,40.00663333333333,62.15526342391968
2_084_1.mp4,1,0,0,1,0,a video of a certain number of persons fighting,,114,20.0,33.88423991203308
1_086_1.mp4,1,0,0,0,7,a video of a certain number of persons fighting,,143,24.991633333333333,44.998478412628174
2_079_1.mp4,1,0,0,15,1,a video of a certain number of persons fighting,,114,20.0,46.50709342956543
4_093_1.mp4,1,0,0,0,0,a video of a certain number of persons fighting,,143,24.966666666666665,32.565288066864014
1_094_1.mp4,1,126,34,0,0,a video of a group of persons playing,,383,65.03163333333333,258.2383244037628
3_101_1.mp4,1,7,0,122,16,a video of a group of persons playing,,863,145.07826666666668,441.89760637283325
4_111_1.mp4,1,0,0,0,0,a video of a group of persons playing,,383,64.96666666666667,85.98933362960815
3_102_1.mp4,1,6,0,122,19,a video of a group of persons playing,,473,80.04663333333333,305.27747917175293
2_090_1.mp4,1,0,0,181,49,a video of a group of persons playing,,1031,180.0,935.6904077529907
1_093_1.mp4,1,29,20,18,0,a video of a group of persons playing,,893,150.11663333333334,304.9190273284912
2_093_1.mp4,1,0,0,70,45,a video of a group of persons playing,,384,65.0,406.1734125614166
4_109_1.mp4,1,0,0,0,0,a video of a group of persons playing,,694,116.96666666666667,154.50614762306213
4_110_1.mp4,1,0,0,0,0,a video of a person running,,107,19.966666666666665,25.80514883995056
3_090_1.mp4,1,0,0,0,0,a video of a person running,,69,19.986633333333334,27.285836219787598
3_093_1.mp4,1,20,12,1,0,a video of a person running,,175,35.00163333333333,109.11228919029236
4_092_1.mp4,1,0,0,0,0,a video of a person running,,53,9.966666666666667,12.7046959400177
2_066_1.mp4,1,7,0,9,0,a video of a person running,,103,20.0,43.95618557929993
4_101_1.mp4,1,0,0,0,0,a video of a person running,,136,23.966666666666665,31.120300769805908
2_094_1.mp4,1,17,31,0,11,a video of a person running,,564,120.0,309.10347628593445
1_068_1.mp4,1,0,0,0,0,a video of a person running,,72,14.981633333333333,22.02331781387329
3_104_1.mp4,1,6,0,0,0,a video of a person running,,139,24.991633333333333,103.5435962677002
3_094_1.mp4,1,12,7,0,0,a video of a person running,,136,24.991633333333333,76.11403322219849
1_077_1.mp4,1,0,0,0,0,a video of a person running,,76,16.983633333333334,24.31987738609314
4_087_1.mp4,1,0,0,0,0,a video of a person running,,89,15.966666666666667,20.57266926765442
2_075_1.mp4,1,0,0,0,0,a video of a person running,,17,15.0,17.519389629364014
4_090_1.mp4,1,0,0,0,2,a video of a person running,,52,9.966666666666667,14.334980726242065
2_085_1.mp4,1,0,0,0,0,a video of a person running,,54,10.0,15.359361171722412
3_085_1.mp4,1,0,3,0,0,a video of a person running,,113,19.986633333333334,34.15806746482849
4_088_1.mp4,1,1,3,0,0,a video of a person running,,77,13.966666666666667,31.0616672039032
1_096_1.mp4,1,0,0,0,0,a video of a person running,,23,9.976633333333334,12.409468412399292
4_080_1.mp4,1,7,2,13,3,a video of a person running,,125,21.966666666666665,54.60306119918823
1_070_1.mp4,1,5,0,0,0,a video of a person running,,55,14.981633333333333,24.760576248168945
4_078_1.mp4,1,0,0,6,0,a video of a person running,,53,9.966666666666667,17.726742029190063
4_104_1.mp4,1,0,0,2,2,a video of a person running,,29,5.966666666666667,10.748044490814209
2_073_1.mp4,1,0,29,0,0,a video of a person running,,215,45.0,105.94930863380432
4_112_1.mp4,1,0,0,0,0,a video of a person running,,65,11.966666666666667,15.404870510101318
2_095_1.mp4,1,0,0,8,0,a video of a person running,,64,15.0,29.23668646812439
3_077_1.mp4,1,5,8,12,0,a video of a person running,,156,29.996633333333335,80.84196305274963
2_064_1.mp4,1,0,0,0,0,a video of a person running,,84,15.0,23.308065176010132
1_079_1.mp4,1,0,0,0,0,a video of a person running,,27,14.981633333333333,17.94883441925049
4_102_1.mp4,1,0,0,0,0,a video of a person running,,50,9.966666666666667,12.650854110717773
3_103_1.mp4,1,18,0,0,0,a video of a person running,,56,14.981633333333333,60.77087712287903
3_097_1.mp4,1,10,20,0,0,a video of a person running,,111,24.991633333333333,81.15815019607544
1_095_1.mp4,1,0,0,0,0,a video of a person running,,40,13.980633333333333,18.113027811050415
3_087_1.mp4,1,4,0,0,0,a video of a person running,,88,19.986633333333334,32.42829895019531
4_113_1.mp4,1,0,0,0,0,a video of a person running,,95,16.966666666666665,21.978663682937622
3_075_1.mp4,1,0,0,0,0,a video of a person running,,157,30.2302,65.70666170120239
4_100_1.mp4,1,0,0,0,1,a video of a person running,,46,8.966666666666667,12.23417615890503
4_089_1.mp4,1,0,0,0,3,a video of a person lying in the floor,,442,74.96666666666667,102.23716163635254
2_080_1.mp4,1,0,0,0,0,a video of a person lying in the floor,,339,60.0,94.05555534362793
3_092_1.mp4,1,0,0,10,1,a video of a person lying in the floor,,255,70.03663333333334,140.49079418182373
1_091_1.mp4,1,22,0,0,0,a video of a person lying in the floor,,249,45.011633333333336,87.29223036766052
3_099_1.mp4,1,0,0,2,0,a video of a person lying in the floor,,274,55.021633333333334,234.95264792442322
1_078_1.mp4,1,54,0,25,0,a video of a person lying in the floor,,233,40.00663333333333,128.57657098770142
4_094_1.mp4,1,0,0,0,0,a video of a person lying in the floor,,314,53.96666666666667,122.40737438201904
3_086_1.mp4,1,27,0,24,10,a video of a person lying in the floor,,512,90.05663333333334,202.16133666038513
1_084_1.mp4,1,0,0,0,0,a video of a person lying in the floor,,172,40.00663333333333,56.80946230888367
2_069_1.mp4,1,5,0,9,15,a video of a person chasing other person,,143,25.0,68.05451536178589
1_082_1.mp4,1,0,0,0,0,a video of a person chasing other person,,83,14.981633333333333,22.968846559524536
3_093_1.mp4,1,1,0,20,12,a video of a person chasing other person,,175,35.00163333333333,109.51138472557068
2_071_1.mp4,1,0,0,10,1,a video of a person chasing other person,,112,30.0,51.85741972923279
3_080_1.mp4,1,0,0,16,6,a video of a person chasing other person,,146,29.996633333333335,77.9336051940918
4_101_1.mp4,1,0,0,0,0,a video of a person chasing other person,,136,23.966666666666665,31.222806453704834
4_108_1.mp4,1,0,0,0,0,a video of a person chasing other person,,65,11.966666666666667,15.36202883720398
4_107_1.mp4,1,0,0,0,0,a video of a person chasing other person,,143,24.966666666666665,32.41243577003479
4_114_1.mp4,1,11,0,6,2,a video of a person chasing other person,,65,11.933333333333334,65.28598356246948
3_096_1.mp4,1,0,0,18,0,a video of a person chasing other person,,83,14.981633333333333,48.898717164993286
1_073_1.mp4,1,2,0,9,0,a video of a person chasing other person,,51,14.981633333333333,29.600804805755615
3_091_1.mp4,1,0,0,0,0,a video of a person chasing other person,,113,19.986633333333334,31.513364791870117
4_083_1.mp4,1,0,0,26,2,a video of a person chasing other person,,99,19.966666666666665,56.98088216781616
2_078_1.mp4,1,0,0,4,15,a video of a person chasing other person,,84,15.0,40.40872812271118
2_077_1.mp4,1,9,0,13,0,a video of a person chasing other person,,66,12.0,39.04969143867493
1_087_1.mp4,1,0,0,0,0,a video of a person chasing other person,,95,16.983633333333334,26.108386039733887
2_088_1.mp4,1,0,0,0,0,a video of a person chasing other person,,73,22.0,29.639085292816162
1_085_1.mp4,1,5,0,0,0,a video of a person chasing other person,,625,110.07663333333333,175.18461799621582
2_083_1.mp4,1,3,0,14,2,a video of a person chasing other person,,550,95.0,199.58491039276123
1_092_1.mp4,1,0,0,0,0,a video of a person jumping,,69,14.981633333333333,21.688733339309692
