Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_095_1.mp4,0,3,0,2,4,a person stealing other person,a person stealing other person,9,13.966666666666669,23.498704195022583
1_082_1.mp4,0,3,0,1,0,a person stealing other person,a person stealing other person,4,14.981633333333331,18.84735631942749
4_084_1.mp4,0,0,0,0,0,a person stealing other person,a person stealing other person,0,14.966666666666669,14.752704620361328
2_071_1.mp4,0,0,0,4,0,a person stealing other person,a person stealing other person,4,30.0,34.66081380844116
3_080_1.mp4,0,0,0,4,0,a person stealing other person,a person stealing other person,4,29.99663333333333,34.6342933177948
4_108_1.mp4,0,0,0,0,0,a person stealing other person,a person stealing other person,0,11.966666666666669,11.896051168441772
3_081_1.mp4,0,0,0,1,0,a person stealing other person,a person stealing other person,1,29.69633333333333,31.617536067962646
3_091_1.mp4,0,3,0,0,2,a person stealing other person,a person stealing other person,5,19.986633333333334,25.34357094764709
4_083_1.mp4,0,0,0,0,0,a person stealing other person,a person stealing other person,0,19.966666666666665,19.75516986846924
2_078_1.mp4,0,0,0,0,0,a person stealing other person,a person stealing other person,0,15.0,15.768217086791992
2_070_1.mp4,0,2,1,1,1,a person stealing other person,a person stealing other person,5,20.0,25.16260766983032
3_088_1.mp4,0,6,4,0,3,a person throwing trash in the floor,a person throwing trash in the floor,13,19.986633333333334,32.04590845108032
1_080_1.mp4,0,2,12,0,0,a person throwing trash in the floor,a person throwing trash in the floor,14,14.981633333333331,27.362914562225345
1_076_1.mp4,0,23,23,0,0,a person throwing trash in the floor,a person throwing trash in the floor,46,14.981633333333331,54.714539527893066
2_072_1.mp4,0,9,30,1,4,a person throwing trash in the floor,a person throwing trash in the floor,44,15.0,53.162070512771606
3_074_1.mp4,0,0,29,0,10,a person throwing trash in the floor,a person throwing trash in the floor,39,19.986633333333334,54.15398478507996
4_103_1.mp4,0,30,7,11,1,a person throwing trash in the floor,a person throwing trash in the floor,49,17.966666666666665,57.77438926696777
3_082_1.mp4,0,25,36,0,14,a person throwing trash in the floor,a person throwing trash in the floor,75,29.99663333333333,94.7283775806427
2_092_1.mp4,0,9,27,1,1,a person throwing trash in the floor,a person throwing trash in the floor,38,15.0,47.85019302368164
1_074_1.mp4,0,21,40,0,0,a person throwing trash in the floor,a person throwing trash in the floor,61,14.981633333333331,67.25161719322205
3_095_1.mp4,0,23,48,0,0,a person throwing trash in the floor,a person throwing trash in the floor,71,24.991633333333333,86.50843143463135
3_084_1.mp4,0,16,6,1,2,a person throwing trash in the floor,a person throwing trash in the floor,25,24.391033333333333,46.5655779838562
1_086_1.mp4,0,19,49,0,0,a person throwing trash in the floor,a person throwing trash in the floor,68,24.991633333333333,83.6240234375
